iso_code,name,sp_2024,old_sp_2050,new_sp_2050,observed_rate,correction_reason
jup,Hupda,1500,679,1500,0.0,no observed rate; projected flat
jur,Juruna,300,136,300,0.0,no observed rate; projected flat
juu,Ju,150,68,150,0.0,no observed rate; projected flat
juw,Wãpha,1610,729,1610,0.0,no observed rate; projected flat
jvd,Javindo,54,11,54,0.0,no observed rate; projected flat
jya,Japhug,5500,2491,5500,0.0,no observed rate; projected flat
jye,Judeo-Yemeni Arabic,51000,34428,51000,0.0,no observed rate; projected flat
jyy,Jaya,2200,997,2200,0.0,no observed rate; projected flat
kaf,Khatso,5432,2461,5432,0.0,no observed rate; projected flat
kah,Kara,4800,2174,4800,0.0,no observed rate; projected flat
kal,Kalaallisut,53000,35778,53000,0.0,no observed rate; projected flat
kap,Bezhta,6200,2808,6200,0.0,no observed rate; projected flat
kav,Katukina,550,371,550,0.0,no observed rate; projected flat
kax,Kao,200,91,200,0.0,no observed rate; projected flat
kay,Kamayurá,400,181,400,0.0,no observed rate; projected flat
kbb,Katxúyana,75,15,75,0.0,no observed rate; projected flat
kbc,Kadiwéu,1600,725,1600,0.0,no observed rate; projected flat
kbg,Khamba,1330,602,1330,0.0,no observed rate; projected flat
kbh,Camsá,4773,2162,4773,0.0,no observed rate; projected flat
kbj,Kari,500,226,500,0.0,no observed rate; projected flat
kbk,Grass Koiari,1700,770,1700,0.0,no observed rate; projected flat
kbs,Kande,50,10,50,0.0,no observed rate; projected flat
kbv,Dera,1200,544,1200,0.0,no observed rate; projected flat
kbx,Ap Ma,6500,2944,6500,0.0,no observed rate; projected flat
kcd,Ngkâlmpw Kanum,150,68,150,0.0,no observed rate; projected flat
kce,Kaivi,2320,1051,2320,0.0,no observed rate; projected flat
kcj,Kobiana,400,181,400,0.0,no observed rate; projected flat
kcn,Nubi,25000,11324,25000,0.0,no observed rate; projected flat
kco,Kinalakna,220,100,220,0.0,no observed rate; projected flat
kcp,Kanga,8000,3624,8000,0.0,no observed rate; projected flat
kcr,Katla,14200,9586,14200,0.0,no observed rate; projected flat
kcs,Koenoem,3000,1359,3000,0.0,no observed rate; projected flat
kct,Kaian,396,179,396,0.0,no observed rate; projected flat
kcu,Kami (Tanzania),5518,1104,5518,0.0,no observed rate; projected flat
kcx,Gats'amé,1000,453,1000,0.0,no observed rate; projected flat
kcy,Kwarandzyey,3000,1359,3000,0.0,no observed rate; projected flat
kdd,Yankunytjatjara,60,12,60,0.0,no observed rate; projected flat
kdk,Numèè,1814,822,1814,0.0,no observed rate; projected flat
kdn,Kunda,6760,3062,6760,0.0,no observed rate; projected flat
kdq,Koch,31000,20927,31000,0.0,no observed rate; projected flat
kdr,Karaim,500,100,500,0.0,no observed rate; projected flat
kdu,Kadaru,7000,3171,7000,0.0,no observed rate; projected flat
kdw,Koneraw,1200,544,1200,0.0,no observed rate; projected flat
kdy,Keijar,180,82,180,0.0,no observed rate; projected flat
kec,Keiga,6070,2750,6070,0.0,no observed rate; projected flat
kee,Rio Grande Keresan,6125,2774,6125,0.0,no observed rate; projected flat
kef,Kpessi,2729,1842,2729,0.0,no observed rate; projected flat
keg,Tese,1400,634,1400,0.0,no observed rate; projected flat
kek,Q'eqchi',726723,490581,726723,0.0,no observed rate; projected flat
kem,Kemak,72000,48604,72000,0.0,no observed rate; projected flat
kes,Kugbo,2000,906,2000,0.0,no observed rate; projected flat
ket,Ket,500,226,500,0.0,no observed rate; projected flat
kfa,Kodagu,97011,43943,97011,0.0,no observed rate; projected flat
kfc,Konda-Dora,15000,10126,15000,0.0,no observed rate; projected flat
kfd,Korra Koraga,14000,9451,14000,0.0,no observed rate; projected flat
kfe,Kota (India),900,408,900,0.0,no observed rate; projected flat
kfh,Kurichiya,29400,13317,29400,0.0,no observed rate; projected flat
kfl,Kung,700,317,700,0.0,no observed rate; projected flat
kfm,Khunsari,24000,16201,24000,0.0,no observed rate; projected flat
kfn,Kuk,3000,1359,3000,0.0,no observed rate; projected flat
kfo,Koro (Cote d'Ivoire),40000,27002,40000,0.0,no observed rate; projected flat
kfp,Korwa,35000,23627,35000,0.0,no observed rate; projected flat
kfq,Korku,200000,135012,200000,0.0,no observed rate; projected flat
kgi,Selangor Sign Language,250,113,250,0.0,no observed rate; projected flat
kgj,Gamale Kham,30000,20252,30000,0.0,no observed rate; projected flat
kgn,Karingani,17600,11881,17600,0.0,no observed rate; projected flat
kgo,Krongo,21700,14649,21700,0.0,no observed rate; projected flat
kgp,Kaingang,18500,12489,18500,0.0,no observed rate; projected flat
kgr,Abun,3000,1359,3000,0.0,no observed rate; projected flat
kgv,Kalamang,134,27,134,0.0,no observed rate; projected flat
khe,Korowai,3500,1585,3500,0.0,no observed rate; projected flat
khj,Kuturmi,10500,7088,10500,0.0,no observed rate; projected flat
